Security ID,Name,New,For,Old,Qty Offered,Qty Subscribed,Date Ex,Allotment Date,Date Of Renunciation,Cum Price,Ex Price,Issue Price
AAIC.N.0000,ASIAN ALLIANCE  ,1,:,4,"5,000,000","5,000,000",MAY-08-2002,MAY-20-2002,JUN-10-2002,10.75,10.50,10.00
AAIC-N-0000,ASIAN ALLIA,1,:,2,12500000,,25-Nov-10,24-Nov-10,14-Dec-10,66.5,65,
ABAN.N.0000,ABANS           ,3,:,10,"175,500","175,500",JAN-16-1992,FEB-06-1992,FEB-27-1992,185.00,120.00,60.00
ABAN-N-0000,ABANS,1,:,3,1064700,1064700,14-Jul-10,13-Jul-10,2-Aug-10,179.7,132.7,
ACME.N.0000,ACME            ,1,:,1,"4,472,160","4,472,160",DEC-13-1996,DEC-30-1996,JAN-20-1997,8.75,8.25,10.00
ACME.N.0000,ACME            ,1,:,2,"4,472,160","4,472,160",APR-25-2007,APR-24-2007,MAY-24-2007,16.75,15.25,14.00
ACME-N-0000,ACME,10,:,11,12196800,12196800,3-Aug-10,2-Aug-10,19-Aug-10,31.9,28.7,
AHCL.N.0000,ASSO. HOTELS    ,1,:,4,"1,040,760","1,040,760",SEP-17-1997,SEP-29-1997,OCT-20-1997,26.00,15.00,15.00
AHCL.N.0000,ASSO. HOTELS    ,3,:,4,"3,902,850","3,902,850",SEP-07-2004,SEP-17-2004,OCT-11-2004,132.00,75.00,18.00
AHOT.N.0000,ASIAN HOTELS    ,1,:,1,"29,326,009","29,326,009",JUL-30-1993,AUG-20-1993,SEP-10-1993,99.00,48.00,28.00
AHOT.N.0000,ASIAN HOTELS    ,1,:,2,"36,657,511","30,168,671",JUN-02-1994,JUN-23-1994,JUL-14-1994,50.00,29.00,30.00
AHOT.N.0000,ASIAN HOTELS    ,1,:,1,"140,141,205","24,003,938",MAR-15-1996,APR-01-1996,APR-22-1996,10.75,10.75,10.00
AHUN.N.0000,A.SPEN.HOT.HOLD.,3,:,5,"14,412,429","14,412,429",OCT-22-1999,NOV-03-1999,NOV-24-1999,44.00,43.00,40.00
AHUN-N-0000,A.SPEN.HOT.,1,:,4,9608286,9608286,31-Mar-10,30-Mar-10,23-Apr-10,409.7,385,
ALUF.N.0000,ALUFAB          ,3,:,2,"548,100","548,100",APR-03-1995,APR-20-1995,MAY-11-1995,8.00,7.00,10.00
ALUF.N.0000,ALUFAB          ,6,:,5,"1,096,200","1,096,200",JUL-16-1996,JUL-31-1996,AUG-21-1996,11.25,11.25,10.00
ALUF.N.0000,ALUFAB          ,1,:,1,"2,009,700","2,009,700",MAR-15-2001,MAR-29-2001,APR-19-2001,5.00,5.00,10.00
ALUF-N-0000,ALUFAB,2,:,1,"8,038,800","8,038,800",24-Aug-11,23-Aug-11,12-Sep-11,134.30,82.60,38.00
AMSL.N.0000,ASIRI SURG      ,1,:,8,"58,717,505","58,717,505",MAR-05-2008,MAR-04-2008,APR-04-2008,8.75,8.75,7.00
