Date,Open,High,Low,Close,Volume,Adj Close
2012-03-09,5456.51,5473.03,5452.12,5456.27,0,5456.27
2012-03-08,5477.67,5480.69,5433.59,5456.51,0,5456.51
2012-03-06,5464.81,5486.43,5455.14,5477.67,0,5477.67
2012-03-05,5460.19,5473.8,5442.46,5464.81,0,5464.81
2012-03-02,5469.68,5498.13,5460.19,5460.19,0,5460.19
2012-03-01,5458.09,5484.27,5458.09,5469.68,0,5469.68
2012-02-29,5431.67,5471.13,5430.05,5458.09,0,5458.09
2012-02-28,5476.59,5490.79,5431.67,5431.67,0,5431.67
2012-02-27,5566.3,5583.8,5467.81,5476.59,0,5476.59
2012-02-24,5507.6,5566.3,5507.6,5566.3,0,5566.3
2012-02-23,5420.97,5536.9,5420.97,5507.6,68319200,5507.6
2012-02-22,5308.51,5433.15,5307.58,5420.97,55595200,5420.97
2012-02-21,5285.17,5330.53,5282.66,5308.51,34328800,5308.51
2012-02-17,5279.09,5389.2,5248.32,5285.17,71619800,5285.17
2012-02-16,5023.8,5305.57,5023.8,5279.09,64608600,5279.09
2012-02-15,5009.96,5107.85,4968.05,5023.8,63036600,5023.8
2012-02-14,5199.98,5211.68,4962.44,5009.96,73584400,5009.96
2012-02-13,5316.99,5334.8,5070.99,5199.98,53388000,5199.98
2012-02-09,5442.25,5458.58,5302.75,5316.99,31262400,5316.99
2012-02-08,5562.87,5587.1,5442.25,5442.25,43495800,5442.25
2012-02-06,5586.39,5608.79,5561.43,5561.43,23270200,5561.43
2012-02-03,5605.49,5615.95,5588.55,5588.55,10540200,5588.55
2012-02-02,5682.33,5686.26,5605.49,5605.49,35663800,5605.49
2012-02-01,5693.92,5713.48,5680.91,5682.33,33513600,5682.33
2012-01-31,5755.56,5785.63,5693.17,5693.92,30025600,5693.92
2012-01-30,5725.44,5827.49,5725.44,5755.56,35362800,5755.56
2012-01-27,5592.86,5772.42,5592.83,5725.44,52770600,5725.44
2012-01-26,5556.29,5621.69,5556.2,5592.4,43409200,5592.4
2012-01-25,5535.67,5589.02,5504.42,5556.29,29306800,5556.29
2012-01-24,5663.09,5688.87,5450.73,5536.09,53069400,5536.09
2012-01-23,5781.13,5799.34,5663.09,5663.09,50986200,5663.09
2012-01-20,5786.6,5818.97,5781.13,5781.13,41086000,5781.13
2012-01-19,5846.41,5860.63,5786.6,5786.6,49589800,5786.6
2012-01-18,5924.61,5940.77,5846.41,5846.41,58850800,5846.41
2012-01-17,5929.34,6040.86,5924.61,5924.61,87061200,5924.61
2012-01-13,5942.47,5993.2,5929.34,5929.34,75349600,5929.34
2012-01-12,5865.06,5955.27,5860.58,5942.47,70763600,5942.47
2012-01-11,5858.5,5889.15,5856.85,5865.06,22077000,5865.06
2012-01-10,5872.92,5885.36,5855.68,5859.67,16557200,5859.67
2012-01-09,5930.52,5934.73,5870.5,5872.94,8917400,5872.94
2012-01-06,5939.75,5943.45,5928.75,5930.52,13900800,5930.52
2012-01-05,5972.75,5976.43,5938.3,5939.75,8869800,5939.75
2012-01-04,6035.65,6043.71,5969.15,5972.75,13741800,5972.75
2012-01-03,6075.01,6086.41,6033.11,6035.65,18617200,6035.65
2012-01-02,6074.52,6108.77,6066.98,6074.87,12092600,6074.87
2011-12-30,6089.38,6108.14,6074.32,6074.42,38731800,6074.42
2011-12-29,6093.42,6141.32,6085.09,6089.38,33767000,6089.38
2011-12-28,6015.09,6106.22,6015.09,6093.39,23609400,6093.39
2011-12-27,5982.58,6022.23,5982.58,6015.09,13659000,6015.09
2011-12-23,5919.16,5996.72,5919.16,5982.58,20153000,5982.58
2011-12-22,5842.83,5940.21,5842.16,5919.35,12999200,5919.35
2011-12-21,5851.94,5863.1,5838.69,5842.83,9494200,5842.83
2011-12-20,5861.02,5908.54,5851.94,5851.94,8917200,5851.94
